X,Y,FID,UnitNumber,AddressNum,StreetName,FullCivicA
-12839092.5419,6636709.452,1,,111B,SETTLER WAY,111B SETTLER WAY
-12837569.7587,6631419.7144,2,107,100B,DYRGAS LANE,107-100B DYRGAS LANE
-12838291.5812,6636875.3403,3,126,901,BENCHLANDS TRAIL,126-901 BENCHLANDS TRAIL
-12839722.7384,6636167.2144,4,,173,KANANASKIS WAY,173 KANANASKIS WAY
-12840713.2,6636273.7805,5,,20,CREEKSIDE MEWS,20 CREEKSIDE MEWS
-12841539.8337,6633438.7198,6,389,91B,THREE SISTERS DRIVE,389-91B THREE SISTERS DRIVE
-12839802.5784,6636139.9606,7,115,187,KANANASKIS WAY,115-187 KANANASKIS WAY
-12837810.3483,6636432.6629,8,,14,RIDGE ROAD,14 RIDGE ROAD
-12840040.0725,6636522.9735,9,120,115,KANANASKIS WAY,120-115 KANANASKIS WAY
-12839770.7394,6636508.1496,10,422,160,KANANASKIS WAY,422-160 KANANASKIS WAY
-12838127.3268,6631571.0196,11,,208A,MISKOW CLOSE,208A MISKOW CLOSE
-12839802.5784,6636139.9606,12,204,187,KANANASKIS WAY,204-187 KANANASKIS WAY
-12841512.963,6637269.2417,13,203,621,10TH STREET,203-621 10TH STREET
-12838376.7764,6631592.1123,14,,232,MISKOW CLOSE,232 MISKOW CLOSE
-12839995.3349,6636550.4704,15,101,121,KANANASKIS WAY,101-121 KANANASKIS WAY
-12841443.8785,6637679.6799,16,110,1160,RAILWAY AVENUE,110-1160 RAILWAY AVENUE
-12838925.3006,6637415.5446,17,2,241,BENCHLANDS TERRACE,2-241 BENCHLANDS TERRACE
-12841988.7933,6636627.7998,18,3,810,5TH STREET,3-810 5TH STREET
-12842742.1176,6638623.3418,19,,203,LARCH PLACE,203 LARCH PLACE
-12839436.9057,6636705.9718,20,105,1080C,COUGAR CREEK DRIVE,105-1080C COUGAR CREEK DRIVE
-12842082.9846,6637135.4386,21,115,826,8TH (Main) STREET,115-826 8TH (Main) STREET
-12838206.1615,6632253.6869,22,,155,CROSSBOW PLACE,155 CROSSBOW PLACE
-12840908.5937,6638715.2727,23,204,300,PALLISER LANE,204-300 PALLISER LANE
-12838079.3102,6635959.512,24,,307,CANYON CLOSE,307 CANYON CLOSE
-12841578.997,6636944.1534,25,,632A,7TH STREET,632A 7TH STREET
-12841763.0098,6637041.8332,26,,717,8TH (Main) STREET,717 8TH (Main) STREET
-12841542.2359,6638142.2991,27,,1554,RAILWAY AVENUE,1554 RAILWAY AVENUE
-12837863.9072,6636978.8033,28,,33,EAGLE LANDING,33 EAGLE LANDING
-12841490.7724,6634365.8015,29,,17,VAN HORNE,17 VAN HORNE
-12838389.7379,6635461.8575,30,,99,MORAINE ROAD,99 MORAINE ROAD
-12842245.0081,6635115.8358,31,201,200,PROSPECT HEIGHTS,201-200 PROSPECT HEIGHTS
-12839837.6129,6636014.8625,32,304,191,KANANASKIS WAY,304-191 KANANASKIS WAY
-12840453.3959,6637468.3138,33,417,901,MOUNTAIN STREET,417-901 MOUNTAIN STREET
-12842085.5443,6636533.0808,34,1,825,5TH STREET,1-825 5TH STREET
-12838714.6218,6638907.2527,35,,501,SILVERTIP POINTE,501 SILVERTIP POINTE
-12839769.475,6636416.4521,36,150,160,KANANASKIS WAY,150-160 KANANASKIS WAY
-12837824.8716,6636771.4771,37,,14,CANYON ROAD,14 CANYON ROAD
-12839769.475,6636416.4521,38,,160,KANANASKIS WAY,160 KANANASKIS WAY
-12837546.9943,6631083.7839,39,202,75,DYRGAS GATE,202-75 DYRGAS GATE
-12841958.3261,6634132.596,40,27,127,CAREY,27-127 CAREY
-12839695.3902,6635759.4608,41,421,30,LINCOLN PARK,421-30 LINCOLN PARK
-12841891.6182,6638912.5523,42,75,1718,BOW VALLEY TRAIL,75-1718 BOW VALLEY TRAIL
-12839586.8017,6636126.6191,43,,176,KANANASKIS WAY,176 KANANASKIS WAY
-12839581.2077,6635974.3493,44,506,180,KANANASKIS WAY,506-180 KANANASKIS WAY
-12840653.4478,6636193.2723,45,411,905,SPRING CREEK DRIVE,411-905 SPRING CREEK DRIVE
-12838509.8814,6637056.4478,46,,137,EAGLE TERRACE ROAD,137 EAGLE TERRACE ROAD
-12840580.2806,6637448.0058,47,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12840829.4162,6638741.9531,48,313,300,PALLISER LANE,313-300 PALLISER LANE
-12841465.2256,6636361.7145,49,2,613,4TH STREET,2-613 4TH STREET
-12837546.9943,6631083.7839,50,213,75,DYRGAS GATE,213-75 DYRGAS GATE
-12841992.4945,6638604.9457,51,101B,1,INDUSTRIAL PLACE,101B-1 INDUSTRIAL PLACE
-12840580.2806,6637448.0058,52,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12841946.0539,6636711.6863,53,7,801,6TH STREET,7-801 6TH STREET
-12842525.2248,6637644.1246,54,,937,13TH STREET,937 13TH STREET
-12843269.6637,6634028.8961,55, ,1076B,LAWRENCE GRASSI RIDGE,1076B LAWRENCE GRASSI RIDGE
-12840538.4667,6636215.1736,56,313A,1012,SPRING CREEK DRIVE,313A-1012 SPRING CREEK DRIVE
-12838868.098,6639209.5549,57,2,125,STONECREEK ROAD,2-125 STONECREEK ROAD
-12839905.7663,6639506.5077,58, ,38,SILVERTIP VILLAGE LANE,38 SILVERTIP VILLAGE LANE
-12842065.5077,6634580.4606,59,,127,PADMORE,127 PADMORE
