FID,PARK_NAME,Shape_area,Shape_len,Shape__Area,Shape__Length
1,Millenium Park,67424.9171589,1324.84635933,170604.0859375,2106.06532208186
2,Lions Park,39815.894984,911.599198386,100807.0625,1450.05292414621
3,Eagle Terrace Park,16964.1227498,592.21051699,42938.25,942.294133477295
4,Elk Run Park,24262.048006,745.764479692,61388.703125,1185.82155030648
5,Elk Run Park,5918.19269107,302.416620154,14973.6953125,481.017275580191
6,Elk Run Park,7792.20723138,517.483058733,19715.3046875,823.306440159118
7,Friendship Park,1508.90485222,164.452527293,3819.2890625,261.524948244823
8,Centennial Park,24448.5685928,615.926366878,61875.8828125,979.72073675465
9,Riverside Park,11217.74761,503.698989321,28390.8828125,801.91895485343
10,Quarry Lake Park,137692.669556,1640.58047005,348304.515625,2609.70361182497
