FID,Location,Shape_area,Shape_len,Shape__Area,Shape__Length
1,Canmore Recreation Center Sports Field,3924.38724215,265.07267041,9937.3046875,421.895784280937
2,Millenium Park,7424.58527386,367.041331782,18785.9375,583.575856478729
3,Elisabeth Rummel,4653.40451321,284.787913316,11776.3359375,452.989032768916
4,Eagle Terrace Park,3554.87656474,247.055490816,8997.890625,392.964889006542
5,Lions Park,4465.36857424,277.502838419,11305.4453125,441.616107900515
6,Centennial Park,4403.10401467,274.646263608,11143.7265625,436.906707290451
7,TSMV,10561.1280763,441.575428258,26687.1796875,702.197370063503
8,Elk Run Park,0,0,17057.9375,516.166591298914
9,Elk Run Park,0,0,17331.3984375,521.75210998297
10,Elk Run Park,0,0,14973.6953125,481.017275580191
11,Millenium Park,0,0,26011.4296875,628.488341299122
12,Lions Park,0,0,4437.71875,252.265590540096
13,TSMV,0,0,20327.8671875,561.96547454093
