FID,ASSETID,INST_YR,MATERIAL,WIDTH,OWNERSHIP,CLASS1,CLASS2,NAME1,NAME2,GlobalID,LIFESTATUS,Shape_len,Shape__Length
1,TR354,2005,Gravel,,Public,Recreational,Recreational,,,{FF20F7E7-3EE1-4A25-935E-E43ABC1336DA},Active,,81.9727779546837
2,TR323,2005,Gravel,1.5,Public,Recreational,Recreational,,,{807D16CB-A3D5-4B7C-BCC2-BC179D726ADB},Active,,989.761468414357
3,TR648,2002,Gravel,2.5,Public,Recreational,Recreational,,,{9AC291BF-AB9C-4E0D-A835-9FC515C9C5B1},Active,,86.3699537500199
4,TR650,2017,Gravel,1.5,Public,Recreational,Recreational,Hubman Dog Park Access,,{DE0FC54B-1E8F-43F2-88BD-729F9865C517},Active,,43.4183604947221
5,TR649,2017,Gravel,1.5,Public,Recreational,Recreational,Hubman Dog Park Access,,{692B3292-D060-4072-837B-21514EE0115E},Active,,39.664219524714
6,TR651,2017,Gravel,1.5,Public,Recreational,Recreational,Palliser Dog Park Access,,{9B337B2B-21DF-48E2-AB2D-E3FEE5DD0028},Active,,30.598408602354
7,TR273,2002,Gravel,1.5,Public,Recreational,Recreational,Transcanada Trail,,{FE7D2E3E-DB60-4365-9D0B-6BB1F9A606C8},Active,,514.133770826429
8,TR652,2002,Gravel,1.5,Public,Recreational,Recreational,,,{1CAC6048-9680-463F-BFDF-662AECC29053},Active,,143.04741462182
9,TR654,2002,Gravel,1.5,Public,Recreational,Recreational,,,{129466CC-F4E8-4F49-ACFA-B485986498A4},Active,,94.2258178952774
10,TR657,2017,Gravel,2.5,Public,Recreational,,,,{DF505E32-4D45-4804-B30A-8BFC8BAEED93},Active,,14.7680278239818
11,TR656,2017,Gravel,2.5,Public,Recreational,,,,{5F15D1E7-C4B8-45B2-BC26-693A27E47A0B},Active,,107.78635202011
12,TR653,2018,Gravel,1.5,Public,Recreational,Recreational,,,{41E5EF82-F668-4B5A-8DE1-AE53583F8D84},Active,,30.6527401542221
13,TR655,2018,Gravel,1.5,Public,Recreational,Recreational,,,{DF2922DF-406A-4E1A-B005-9B9A483F6C58},Active,,158.869823898114
14,TR211,2002,Gravel,1.5,Public,Recreational,Recreational,,,{EF0102E2-885C-490A-9E6C-FAAEE3B29CA3},Active,,915.059907460865
15,TR662,2021,Gravel,1,Public,Recreational,Recreational,,,{C5D5BC1F-48FB-4802-BCF8-3FC5F17DC328},Active,,8.71723605721605
16,TR663,2021,Gravel,2,Public,Recreational,Recreational,,,{87238338-34B7-40E8-91F2-F6F6229FBC16},Active,,7.43577656085011
17,TR289,1992,Organic,0.5,Public,Recreational,Recreational,,,{D6DA8B7A-7DB8-4AA8-9B55-AE8BD7CC7C52},Active,,15.2928630074734
18,TR006,2000,Gravel,1.5,Public,Recreational,Recreational,,,{4F0D3355-FB09-4321-98ED-D8797855CD7E},Active,,12.3054619906803
19,TR008,2000,Gravel,1.5,Public,Recreational,Recreational,,,{30C8F211-59DD-44A1-947B-864CB8CAE842},Active,,23.1094237111441
20,TR009,2004,Gravel,1.5,Public,Recreational,Recreational,,,{2CF10038-9837-464B-8081-37D03E77E584},Active,,2.1234855611272
21,TR011,2004,Gravel,1.5,Public,Recreational,Recreational,,,{018831D1-8B6D-453B-A0C3-B26235896365},Active,,224.503997292506
22,TR012,2000,Gravel,1.5,Public,Recreational,Recreational,,,{AB7C3441-28D1-4F31-9140-553D413827E2},Active,,78.5586326337494
23,TR016,2000,Paved,2.5,Public,Recreational,Recreational,,,{0215013C-FFA8-45B7-8315-BDAB52CBC3AE},Active,,58.2005157132132
24,TR018,2000,Gravel,1.5,Public,Recreational,Shortcut,,,{266954CD-88E2-43B2-AA83-CFC6511E101E},Active,,27.6937443458487
25,TR661,2021,Gravel,1.5,Public,Recreational,Recreational,,,{E7171384-ED08-4D6A-A9CB-971D9C76FF25},Active,,48.7227808510227
26,TR020,2000,Paved,2.5,Public,Commuter,Commuter,,,{94DAFBA3-F7C0-4D47-9336-9832B0BE0ADE},Active,,161.88156857969
27,TR021,2000,Gravel,1.5,Public,Recreational,Shortcut,,,{2F8DB756-4F6A-47B2-96BB-F1C8F44AA323},Active,,57.2110952069243
